Index,Model 01,Survey 01,Category,Description,Title
4WNW,12095,38032.19408,4NW,Work trips to 4NW,4NW
4WNW,15,24.02958,4SW,Work trips to 4SW,4SW
4WNW,5430,2027.51197,4W,Work trips to 4W,4W
4WNW,59860,1139.374128,4WNW,Work trips to 4WNW,4WNW
4WNW,715,112.44977,4WSW,Work trips to 4WSW,4WSW
4WNW,2905,330.15816,XIL,Work trips to XIL,XIL
4WNW,135,327.05628,XWI,Work trips to XWI,XWI
4WSW,1610,35.67341,1,Work trips to 1,1
4WSW,5,35.63875,2N,Work trips to 2N,2N
4WSW,415,30.00806,2NW,Work trips to 2NW,2NW
4WSW,25,152460.2721,2S,Work trips to 2S,2S
4WSW,170,,2SW,Work trips to 2SW,2SW
4WSW,520,,2W,Work trips to 2W,2W
4WSW,150,,2WNW,Work trips to 2WNW,2WNW
4WSW,525,,2WSW,Work trips to 2WSW,2WSW
4WSW,155,,3NW,Work trips to 3NW,3NW
4WSW,1245,,3SW,Work trips to 3SW,3SW
4WSW,7185,,3W,Work trips to 3W,3W
4WSW,1135,,3WNW,Work trips to 3WNW,3WNW
4WSW,30710,,3WSW,Work trips to 3WSW,3WSW
4WSW,65,,4NW,Work trips to 4NW,4NW
4WSW,2335,,4SW,Work trips to 4SW,4SW
4WSW,10235,,4W,Work trips to 4W,4W
4WSW,820,,4WNW,Work trips to 4WNW,4WNW
4WSW,76035,,4WSW,Work trips to 4WSW,4WSW
4WSW,5280,,XIL,Work trips to XIL,XIL
4WSW,5,,XWI,Work trips to XWI,XWI
XIL,100,,1,Work trips to 1,1
XIL,50,,2NW,Work trips to 2NW,2NW
XIL,320,,2S,Work trips to 2S,2S
XIL,120,,2SW,Work trips to 2SW,2SW
XIL,60,,2W,Work trips to 2W,2W
XIL,30,,2WNW,Work trips to 2WNW,2WNW
XIL,40,,2WSW,Work trips to 2WSW,2WSW
XIL,215,,3IN,Work trips to 3IN,3IN
XIL,5,,3N,Work trips to 3N,3N
XIL,335,,3NW,Work trips to 3NW,3NW
XIL,2185,,3S,Work trips to 3S,3S
XIL,905,,3SW,Work trips to 3SW,3SW
XIL,985,,3W,Work trips to 3W,3W
XIL,660,,3WNW,Work trips to 3WNW,3WNW
XIL,1990,,3WSW,Work trips to 3WSW,3WSW
XIL,25,,4N,Work trips to 4N,4N
XIL,7280,,4NW,Work trips to 4NW,4NW
XIL,7700,,4SW,Work trips to 4SW,4SW
XIL,3220,,4W,Work trips to 4W,4W
XIL,3095,,4WNW,Work trips to 4WNW,4WNW
XIL,5435,,4WSW,Work trips to 4WSW,4WSW
XIL,342595,,XIL,Work trips to XIL,XIL
XIL,520,,XIN,Work trips to XIN,XIN
XIL,730,,XWI,Work trips to XWI,XWI
XIN,535,,1,Work trips to 1,1
XIN,10,,2N,Work trips to 2N,2N
XIN,5,,2NW,Work trips to 2NW,2NW
XIN,1195,,2S,Work trips to 2S,2S
XIN,90,,2SW,Work trips to 2SW,2SW
XIN,25,,2W,Work trips to 2W,2W
XIN,5,,2WSW,Work trips to 2WSW,2WSW
XIN,24850,,3IN,Work trips to 3IN,3IN
XIN,2175,,3S,Work trips to 3S,3S
XIN,240,,3SW,Work trips to 3SW,3SW
XIN,110,,4SW,Work trips to 4SW,4SW
XIN,610,,XIL,Work trips to XIL,XIL
XIN,140550,,XIN,Work trips to XIN,XIN
XWI,340,,1,Work trips to 1,1
XWI,295,,2N,Work trips to 2N,2N
XWI,230,,2NW,Work trips to 2NW,2NW
XWI,15,,2W,Work trips to 2W,2W
XWI,10,,2WNW,Work trips to 2WNW,2WNW
XWI,910,,3N,Work trips to 3N,3N
XWI,940,,3NW,Work trips to 3NW,3NW
XWI,25,,3W,Work trips to 3W,3W
XWI,145,,3WNW,Work trips to 3WNW,3WNW
XWI,9670,,4N,Work trips to 4N,4N
XWI,17375,,4NW,Work trips to 4NW,4NW
XWI,5,,4W,Work trips to 4W,4W
XWI,120,,4WNW,Work trips to 4WNW,4WNW
XWI,750,,XIL,Work trips to XIL,XIL
XWI,5,,XIN,Work trips to XIN,XIN
XWI,207650,,XWI,Work trips to XWI,XWI
